family_id,model_family,seed_index,seed_role,training_seed,shot_seed,allowed_before_gate_4_acceptance,final_test_use
C01,ridge_elastic_net,1,development_and_finalist,2215023969,2090653552,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,2,development_and_finalist,1913486466,4041356945,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,3,development_and_finalist,3541654860,2831554675,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,4,development_and_finalist,3875691749,4280448810,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,5,development_and_finalist,1404528401,2522591050,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,6,development_and_finalist,1222615523,1260513075,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,7,development_and_finalist,2629060497,3966520253,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,8,development_and_finalist,3570788148,2338512754,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,9,development_and_finalist,4259321452,145356652,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,10,development_and_finalist,2391688581,1855813132,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,11,development_and_finalist,4045607752,3039340939,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,12,development_and_finalist,496516663,3544080116,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,13,development_and_finalist,3582365401,1655254630,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,14,development_and_finalist,169980759,2391369307,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,15,development_and_finalist,2842242911,458206601,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,16,development_and_finalist,3581407679,2047226144,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,17,development_and_finalist,3315654108,2141110928,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,18,development_and_finalist,1166092537,1827635490,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,19,development_and_finalist,2027696698,726285065,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,20,development_and_finalist,621220452,985226903,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,21,finalist_extension_only,797832027,3512767996,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,22,finalist_extension_only,1491819928,186911176,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,23,finalist_extension_only,3579644994,1806867184,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,24,finalist_extension_only,4284227270,951025829,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,25,finalist_extension_only,508666492,3608561657,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,26,finalist_extension_only,2663171195,2437151059,synthetic_smoke_only,prohibited_until_separate_unlock_commit
C01,ridge_elastic_net,27,finalist_extension_only,169957186,2854307161,synthetic_smoke_only,prohibited_until_separate_unlock_commit
